user_id,local_date_str,type,generation_kwh,nominal_power_w
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-22,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,1.11,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,7.34,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,12.79,20000
ES0184000000051513CQ0FA000,2023-05-23,b11,2.99,20000
