user_id,local_date_str,datetime,type,generation_kwh,nominal_power_w
ES0184000000051513CQ0FA000,2023-05-25,2023-05-24T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T06:00:00,b11,0.38,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T07:00:00,b11,1.81,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T08:00:00,b11,4.12,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T09:00:00,b11,5.63,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T10:00:00,b11,11.45,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T11:00:00,b11,13.85,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T12:00:00,b11,11.43,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T13:00:00,b11,15.22,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T14:00:00,b11,14.9,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T15:00:00,b11,15.17,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T16:00:00,b11,10.68,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T17:00:00,b11,10.1,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T18:00:00,b11,2.49,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T19:00:00,b11,0.57,20000
